Rqt,Priority,Function,Requirement
709210,Medium,,Reasonable accommodation tools and resources for special testing needs (ADA compliant).
709211,Medium,,Multilingual support option on all tests.
709212,Medium,,User defined number of testing components.
709213,Medium,,Record user defined versions of tests and related answer keys.
709214,Medium,,Tracks multiple user-defined answer keys with unique identifiers and user definable fields.
709215,Medium,,Exclude items that are deemed invalid from final scoring of tests and rescore.
709216,Medium,,Identify the exams where an excluded item was used.
709217,Medium,,Applicants can take tests while administrators post new tests for the same exam.
709218,Medium,,Create online test that can be routed through approval levels and posted in real time.
,,,"Section:HRP-Applicant Services, Testing and Examinations Content Management (15 Reqs)"
709219,Medium,,"Ensure that tests/questions/answers and any associated applicant data is not compromised (i.e., secured)."
709220,Medium,,Validate that all tests/questions/answers are EEO and ADA compliant and comply with federal/state regulations.
709221,Medium,,Question pool shall be searchable by categories and grouped by skill level.
,,,"Section:HRP-Applicant Services, Testing and Examinations Content Management (15 Reqs)"
709222,Medium,,Customize a canned test.
709223,Medium,,Tests/questions contain core competencies.
709224,Medium,,Create types of test question to include: computer adaptive testing (CAT).
709225,Medium,,Create types of test question to include: multiple choice.
709226,Medium,,Create types of test question to include: true or false.
709227,Medium,,Create types of test question to include: essay (with automated grading).
709228,Medium,,Create types of test question to include: audio.
709229,Medium,,Create types of test question to include: photographs.
709230,Medium,,Create types of test question to include: flash modules.
709231,Medium,,Create types of test question to include: software simulations.
709232,Medium,,Justification/documentation for every test/question/answer is produced.
709233,Medium,,Certified question pool and certified standard tests available.
,,,"Section:HRP-Applicant Services, Register and Eligibility List Management (69 Reqs)"
709234,High,,Track all applicants that are eligible for consideration for hire of a position by classification.
709235,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria:  internal mobility."
709236,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria:  veterans."
709237,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria: open  competitive."
709238,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria:  promotional."
709239,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria:  employee demographics (EEO)."
709240,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria: re- employments."
709241,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria: quick  fills (emergency, temporary)."
709242,Medium,,"Generate a preview list to be created for an approved opening by the following categories, ordered by user-defined criteria:  interns / co-ops / scholarships."
,,,"Section:HRP-Applicant Services, Register and Eligibility List Management (69 Reqs)"
709243,Medium,,"Lists for internal mobility registers filtered by current agency organization of employees (statewide, department-wide, division,  work unit, etc.)."
709244,High,,"Apply preference point adjustments when creating the list for an approved opening, based on user-defined parameters on which  adjustments apply to which types of openings (final ranking is based on test/ranking scores)."
709245,Medium,,Sort and filter lists by approved special qualification parameters based on: geographic designation.
709246,High,,Sort and filter lists by approved special qualification parameters based on: county of preference.
709247,High,,Sort and filter lists by approved special qualification parameters based on: county (e.g. county of residence).
709248,High,,Sort and filter lists by approved special qualification parameters based on: work county.
709249,High,,Sort and filter lists by approved special qualification parameters based on: agency organization.
709250,High,,Sort and filter lists by approved special qualification parameters based on: work schedule preference.
709251,High,,Sort and filter lists by approved special qualification parameters based on: part time / full time preference.
709252,High,,Sort and filter lists by approved special qualification parameters based on: shift preference.
709253,High,,Sort and filter lists by approved special qualification parameters based on: other user-specified qualifications.
709254,Medium,,Create user-specified rules for selecting candidates for inclusion on a list.
709255,High,,List hierarchy such that certain types of applicants are listed first (e.g. previously laid off employees from State).
709256,High,,Allows State to save certification data lists and to uniquely identify the lists for use in interviews and appointments (Certification of  Eligibles).
709257,High,,Match Certification with a position(s) that are to be filled.
709258,High,,"Identify, rank and certify applicants per Preference Points and/or scores."
709259,Medium,,Applicants who meet minimum requirements can self-nominate for a posted position.
709260,Medium,,Track candidates on multiple registers for jobs located throughout the State.
709261,Medium,,Close certified registers based on: expiration after user-defined time period.
709262,Medium,,Close certified registers based on: position(s) have been filled.
709263,Medium,,Close certified registers based on: return with no action taken.
709264,Medium,,Notify applicants removed from the register and the reason for removal.
709265,Medium,,Restore applicants to the register once they have been removed based on user defined criteria.
709266,Medium,,"Generate letters / emails to candidates who have been interviewed, with user-defined format and selection criteria."
709267,Medium,,"Track and audit of all actions taken during the appointment process, including user-defined codes for results."
709268,High,,Correct a certification error.
709269,Medium,,Track the status of all individual register requests from request to completion (including any status within the process).
,,,"Section:HRP-Applicant Services, Register and Eligibility List Management (69 Reqs)"
709270,Medium,,"Option to notify candidates if referred to the hiring agency including job title, location and posting number."
709271,Medium,,Track approvals for certified registers.
709272,Medium,,Track the use of existing and previous registers for recruitment purposes.
709273,Medium,,"Define timing for certification deadlines (e.g., 6 months)."
709274,Medium,,Applicants removed from a register for user-defined reasons.
709275,Medium,,"Prohibit reapplication for a user-defined (e.g. period of time, agency specific, etc.)."
709276,Medium,,"Automatically remove candidates from registers, and provide notification, once they are hired into a position of equal or higher  level."
709277,Medium,,"Create and change multiple certification rules, which provide the logic to select candidates for a certification list for consideration  in filling a vacancy(s)."
709278,Medium,,Track multiple certification rule attributes.
709279,Medium,,Track multiple certification rules details applied in a user-defined sequence.
709280,Medium,,Activate or remove multiple certification rules details for each rule.
709281,Medium,,Enter register requests to include: request number.
709282,Medium,,Enter register requests to include: agency.
709283,Medium,,Enter register requests to include: employee id (user id).
709284,Medium,,Enter register requests to include: position number.
709285,Medium,,Enter register requests to include: shift.
709286,Medium,,Enter register requests to include: work schedule.
709287,Medium,,Enter register requests to include: part time/full time.
709288,Medium,,Enter register requests to include: total in multiple vacancy fill request.
709289,Medium,,Enter register requests to include: status on certification lists.
709290,Medium,,Enter register requests to include: contact information.
709291,Medium,,Enter register requests to include: county of work location.
709292,Medium,,Enter register requests to include: other user defined criteria.
709293,Medium,,Enter register requests to include: job classification.
709294,Medium,,"Supplement additional cert list selection rules with special qualifications (e.g., veteran status)."
709295,Medium,,"Generate list of eligibles with a unique identifier based on top scores for test results or other qualifiers (rank order, tie breakers)."
709296,Medium,,Route offers for internal approval prior to mailing or emailing offer letters to candidates.
,,,"Section:HRP-Applicant Services, Register and Eligibility List Management (69 Reqs)"
709297,High,,Create a register based on applicant responses to questions regarding minimum requirements.
709298,High,,Flag certified applicants who are non-responsive for removal from the register.
709299,Medium,,Track the expiration date of register certifications.
709300,Medium,,"Notification Certification expiration to user-defined hiring managers, etc."
709301,Medium,,Notify the hiring agency based on user-defined timeframe prior to a Certification expires.
709302,Medium,,"Report on the certification list as of a user-specified point in time, for historical purposes."
,,,"Section:HRP-Applicant Services, Inquiry and Reporting (14 Reqs)"
709303,Medium,,"Online location searches of applicants and certified candidates, including name, county, department, agency, city, etc."
709304,Low,,"Conduct full text searches by user-specified criteria, including degree, certificate, training, skill, competency specified on the  resume or application, etc."
709305,Medium,,Allow recruiters to produce and distribute reports to hiring managers electronically.
709306,High,,"Produce and distribute a searchable certified list of applicants meeting minimum requirements for a vacancy based on candidate  selection method in rank order, competitive or internal mobility."
709307,Medium,,Produce correspondence to applicants and certified applicants based on response.
709308,Medium,,Produce multiple job opening listings for web posting and/or Open Continuous Bulletins.
709309,Medium,,Report applicant status by multiple user defined criteria.
709310,High,,Produce EEO hiring reports.
709311,Low,,"Produce random surveys for applicants, hiring managers and recruiters as part of the quality assurance process."
709312,High,,"Report information associated with the hiring process, including advertising cost, time to fill, offers accepted vs. declined and  other key metrics."
709313,Medium,,Print mailing lists and/or labels and/or email for all applicant correspondence.
709314,Medium,,Print letters or send emails for all employee correspondence.
709315,High,,Produce statistical reports reflecting historical EEO data on applicants.
709316,Low,,Select applicants or current employees by job classification and generate pre-defined email notices regarding job opportunities or  other user-defined notices.
,,,"Section:HRP-Applicant Services, Self-Service (36 Reqs)"
709317,High,,Provide online capability for the applicant to: complete job applications/profile.
709318,High,,Provide online capability for the applicant to: review opportunities.
,,,"Section:HRP-Applicant Services, Self-Service (36 Reqs)"
709319,High,,Provide online capability for the applicant to: review application status.
709320,High,,Provide online capability for the applicant to: update applicant demographics on registers.
709321,Medium,,Provide online capability for the applicant to: update of candidate resume or application if requested from hiring organization  while preserving the original version of the resume/application.
709322,High,,Provide online capability for the applicant to: update of applicant account information.
709323,Medium,,Allow candidates to submit multiple applications/resumes and/or resume profiles online which include: dates worked.
709324,Medium,,Allow candidates to submit multiple applications/resumes and/or resume profiles online which include: job duties.
709325,Medium,,Allow candidates to submit multiple applications/resumes and/or resume profiles online which include: job contact information.
709326,Medium,,Allow candidates to submit multiple applications/resumes and/or resume profiles online which include: skills attained.
709327,Medium,,Allow candidates to submit multiple applications/resumes and/or resume profiles online which include: certification or degrees  earned.
709328,Medium,,"Allow candidates to submit multiple applications/resumes and/or resume profiles online which include: hours per week or  percentage of full-time work for a given job title (full-time, part-time)."
709329,High,,Allow candidates to submit multiple applications/resumes and/or resume profiles online which include: other user defined criteria.
709330,Medium,,Allow candidates to link multiple documents to the application and any associated updates.
709331,High,,View job opening information on web site(s)for internal candidates and external candidates.
709332,High,,Applicants can store work-in-progress and continue at a later date.
709333,Low,,Applicant to request the support of a recruiter or other assistance during the application submission process.
709334,Medium,,"Spell check capability for applicants, hiring managers and recruiters."
709335,Medium,,Allow applicants to establish and maintain multiple electronic resumes and applications through the use of an industry-standard  web browser.
709336,Medium,,"Allow for user-defined, job specific informational statements to be displayed (job description, salary, benefits, etc.)."
709337,Medium,,"Allow for supplemental questions to be responded to by the applicant depending on the job applied for (e.g., common questions  pertain to skills, licenses and/or certifications, benefits, etc.). These questions should: be user-defined."
709338,High,,"Allow for supplemental questions to be responded to by the applicant depending on the job applied for (e.g., common questions  pertain to skills, licenses and/or certifications, benefits, etc.). These questions should: associated with a job posting, job class or  category."
709339,Medium,,"Allow for supplemental questions to be responded to by the applicant depending on the job applied for (e.g., common questions  pertain to skills, licenses and/or certifications, benefits, etc.). These questions should: assigned a predetermined value."
709340,Medium,,"Allow for supplemental questions to be responded to by the applicant depending on the job applied for (e.g., common questions  pertain to skills, licenses and/or certifications, benefits, etc.). These questions should: allow for response calculations and score  generation."
,,,"Section:HRP-Applicant Services, Self-Service (36 Reqs)"
709341,Medium,,System provides the ability for applicants to view the status of their records based on: test results.
709342,Medium,,System provides the ability for applicants to view the status of their records based on: review score on various registers.
709343,Medium,,System provides the ability for applicants to view the status of their records based on: status on certification lists.
709344,Medium,,System provides the ability for applicants to view the status of their records based on: tracking of all open jobs applied for.
709345,Medium,,Allow applicants to apply for multiple positions at once and to leverage common application steps across multiple job openings.
709346,Medium,,Allow applicants to request reuse of prior exam scores.
709347,Medium,,"Allow interested applicants to create profiles for job announcement (posting) notification based on job class, job category,  department, and other pertinent data (career agent function)."
709348,High,,Applicant has ability to change password and generate email notification.
709349,Medium,,Create audit trail of historical comments from agency and DOP on an applicant record.
709350,Medium,,Resume can be created using system generated template online for a job application.
709351,Medium,,"Allow applicants to request placement on a register once dropped, including a comment field to indicate why they believe the  request to be justified."
709352,Medium,,Individuals can enter online applicant referrals.
,,,"Section:HRP-Benefits Administration, General (65 Reqs)"
709353,Medium,,"For each plan year (July 1 - June 30), maintain employee and employer insurance premium cost for various type of insurance  plans offered to: State employees."
709354,Medium,,"For each plan year (July 1 - June 30), maintain employee and employer insurance premium cost for various type of insurance  plans offered to: State employees on leave without pay."
709355,High,,"For each plan year (July 1 - June 30), maintain employee and employer insurance premium cost for various type of insurance  plans offered to: State retirees."
709356,Medium,,"For each plan year (July 1 - June 30), maintain employee and employer insurance premium cost for various type of insurance  plans offered to: elected officials."
709357,High,,"For each plan year (July 1 - June 30), maintain employee and employer insurance premium cost for various type of insurance  plans offered to: non-state participants."
709358,High,,"HR records for State employees and former State employees (retirees) will utilize the ERP Benefits Module, with integration of  Accounts Receivable/Billing Module for non- employee insurance participants."
709359,Medium,,"HR records for State employees, higher education employees and former State employees (retirees) will utilize the ERP Payroll  Module, for payroll and retirement annuity pay processing."
709360,High,,"K-12 school district participants, local government participants, certain former agencies previously associated with the State and  certain other former participants records may not be maintained in the ERP Payroll/Personnel (including Benefits Administration)  modules. This group of participants insurance only related records will be maintain within the Accounts Receivable/Billing Module  for non-employee insurance participants."
709361,High,,Benefits administration must integrate with: Personnel Administration.
709362,Medium,,Benefits administration must integrate with: Position Control.
709363,Medium,,Benefits administration must integrate with: Budget Development.
709364,High,,Benefits administration must integrate with: Payroll.
709365,High,,Benefits administration must integrate with: General Ledger / Financial Management.
709366,High,,Benefits administration must integrate with: Accounts Payable.
709367,High,,Benefits administration must integrate with: Accounts Receivable / Billing.
709368,High,,Benefits administration must integrate with: Cash Management.
709369,Medium,,Benefits administration must integrate with: Leave Management.
709370,Medium,,Benefits administration must integrate with: Classification and Compensation.
709371,Medium,,Benefits administration must integrate with: Time and Labor.
709372,Medium,,Integrate Benefits Administration with: Retirement system.
709373,Medium,,Integrate Benefits Administration with: Revenue.
709374,Medium,,Integrate Benefits Administration with: Worker's Comp Benefits Administrator.
,,,"Section:HRP-Benefits Administration, General (65 Reqs)"
709375,Medium,,Integrate Benefits Administration with: Center for Medicare and Medicaid services.
709376,High,,Integrate Benefits Administration with: Other external employers.
709377,Medium,,Integrate Benefits Administration with: Insurance carriers and third party administrators.
709378,Medium,,Integrate Benefits Administration with: Unemployment compensation.
709379,High,,Provide authorized information to third party administrators for: utilization and contributions.
709380,High,,Provide authorized information to third party administrators for: demographic data.
709381,Medium,,Provide authorized information to third party administrators for: deferred compensation (457).
709382,High,,Provide authorized information to third party administrators for: enrollment and maintenance.
709383,Medium,,Update interface files by third party administrators as authorized for: resource planning.
709384,High,,Update interface files by third party administrators as authorized for: update programs.
709385,High,,Update interface files by third party administrators as authorized for: establish dependent eligibility and enrollment.
709386,Medium,,Update interface files by third party administrators as authorized for: update of deduction amounts.
709387,Medium,,Update interface files by third party administrators as authorized for: other user defined parameters.
709388,Medium,,Update interface files by third party administrators as authorized for: third party insurance.
709389,Medium,,Update interface files by third party administrators as authorized for: enrollment for administrative billing.
709390,Medium,,Update interface files by third party administrators as authorized for: select demographics.
709391,Medium,,Track employee data to disallow duplicate coverage within the same plan and/or program. (Employee can be member in State  plan and Local Government or Local Education plan but cannot be a member / participant or a dependent in the same plan).
709392,Medium,,Track dependent data to disallow duplicate coverage within the same plan and/or program (Dependents can be covered in  different plans but not twice under the same plan).
709393,High,,Track current and historical beneficiary information (including multiple beneficiaries per insurance product) visible to the insured  and plan administrator (PEIA administrator).
709394,High,,Ability to enter and track relationship between spouses (and their dependents) working for different employers to ensure  coverage rules are applied.
709395,High,,Maintain complete insurance transaction history by participant (including premium payment history and history with multiple  employers) including dates of coverage.
709396,Medium,,"Provide user defined multi-step workflow for all benefits administration events (e.g. enrollment, qualifying event, stop coverage,  etc.)."
709397,Medium,,System must meet requirements of COBRA.
709398,Medium,,System must meet requirements of HIPAA.
709399,Medium,,"Allow Benefit transactions to be retroactive, subject to user defined edits by transaction type."
,,,"Section:HRP-Benefits Administration, General (65 Reqs)"
709400,Medium,,Provide the ability to cancel transactions (rather than reverse and reenter) subject to pre-defined edit criteria and security.
709401,Medium,,"Provide a flexible notification capability that allows the user to define content, rules for production, and distribution method (email  or US mail)."
709402,Medium,,Record in the employees history when notifications are sent.
709403,Medium,,Allow copies of notifications to be sent to benefits administrator / benefits coordinator based on user option.
709404,Medium,,Allow copies of notifications to be retrievable by benefits administration based on user option.
709405,Medium,,"Provide for entry of comments for employees, participants, dependents, vendors, etc."
709406,High,,Provide user defined controls for batch processing to include: validation of current eligibility information.
709407,Medium,,Provide user defined controls for batch processing to include: checking duplicate ssn's.
709408,High,,Provide user defined controls for batch processing to include: applying premium updates.
709409,Medium,,Provide user defined controls for batch processing to include: automatically changing enrollment coverage from family to single  when no dependents are enrolled.
709410,Medium,,Provide user defined controls for batch processing to include: overlapping coverage.
709411,Medium,,Provide user defined controls for batch processing to include: checking for employee spouse hire indicator.
709412,Medium,,Compatible with Interactive Voice Response and TTY systems to allow employees to establish and modify specified enrollment  information.
709413,Medium,,"Provide for scanning abilities for submitting required documentation and link to employee records (e.g., enrollment forms,  qualifying events forms)."
709414,Medium,,Ability to inquire on the status of a pending benefits transaction online.
709415,Medium,,Automatically notify the agency's benefits staff when an employee has been on leave without pay.
709416,High,,"Ability to track the employee and/or dependent benefit status, including premiums, coverage dates and payments."
709417,Medium,,"Provide the ability, with proper security, to nullify transactions so that they do not appear in history (they will still be on the  database for audit purposes)."
,,,"Section:HRP-Benefits Administration, Plan Administration (61 Reqs)"
709418,Medium,,Support State sponsored benefit plans such as: Deferred Compensation (457).
709419,Medium,,Support State sponsored benefit plans such as: 401(k) Loan Repayments.
709420,Medium,,Support State sponsored benefit plans such as: Unemployment Insurance.
709421,Medium,,Support State sponsored benefit plans such as: Medical/Health.
709422,Medium,,Support State sponsored benefit plans such as: Life Insurance.
,,,"Section:HRP-Benefits Administration, Plan Administration (61 Reqs)"
709423,Medium,,Support State sponsored benefit plans such as: Accidental Death Insurance (ADD).
709424,Medium,,Support State sponsored benefit plans such as: Dental.
709425,Medium,,Support State sponsored benefit plans such as: Flexible spending accounts.
709426,Medium,,Support State sponsored benefit plans such as: Optional life/accident insurance.
709427,Medium,,Support State sponsored benefit plans such as: Long term disability.
709428,Medium,,Support State sponsored benefit plans such as: Short term disability.
709429,Medium,,Support State sponsored benefit plans such as: Day Care.
709430,Medium,,Support State sponsored benefit plans such as: Retirement.
709431,Medium,,Support State sponsored benefit plans such as: Long term care.
709432,Medium,,Support State sponsored benefit plans such as: Medicare supplement.
709433,Medium,,Support State sponsored benefit plans such as: Wellness.
709434,Medium,,Support State sponsored benefit plans such as: Employee Assistance Program.
709435,Medium,,Support State sponsored benefit plans such as: Variable Annuities.
709436,Medium,,Support State sponsored benefit plans such as: Additional retirement.
709437,Medium,,Support State sponsored benefit plans such as: Vision Care.
709438,Medium,,Support State sponsored benefit plans such as: Charitable Deductions.
709439,Medium,,Support State sponsored benefit plans such as: Qualified Transportation Benefits (s.132).
709440,Medium,,Support State sponsored benefit plans such as: Various new benefit plans as may be approved in the future.
709441,Medium,,Support various types of non-State sponsor benefit plans for supplemental insurance vendors.
709442,Medium,,"Ability to define data defaults that comply with DOP Rules, Court Orders, State law, Federal requirements, and State Policies and  Procedures."
709443,Medium,,Support multiple versions of benefit plans. Plan versions are processed based on effective date.
709444,Medium,,Provide ability to approve and reimburse contribution overpayments for FSA accounts.
709445,Medium,,Provide the ability to record on-line enrollment/changes by plan year in medical/child care reimbursements accounts.
709446,Medium,,Provide enrollment/change notification to employees via email or letter.
709447,Medium,,Provide the ability for employee or department benefit administrators to view benefits enrollment data based on security access.
709448,Medium,,"Send benefits enrollment confirmation indicating choices and associated information (i.e., levels of coverage, deduction amounts  etc.) to the participant via hardcopy or electronic."
709449,Medium,,Provide the ability to display potential tax savings on flex expenditure accounts.
,,,"Section:HRP-Benefits Administration, Plan Administration (61 Reqs)"
709450,Medium,,Provide a link to the third party administrator for submission of reimbursement requests of FSA claims for medical or dependent  care expenses.
709451,High,,"Image and attach required documentation for enrollments, changes, or request for reimbursements."
709452,Medium,,Ability for employee to view reimbursements based on user security.
709453,Medium,,Interface with the payroll contribution process to derive changes to contributions (i.e. reductions/reimbursements) based on  reimbursement rules and availability.
709454,Medium,,Ability to handle missed insurance premiums by creating an arrearage for missing premium based on user defined business  rules.
709455,Medium,,Provide the ability to adjust the arrearage for insurance premiums based on payments made directly by the employee or  employer.
709456,Medium,,Ability to handle FSA contribution by pro-rating the deduction of the remaining schedule of the plan year.
709457,Medium,,Provide the ability to adjust the remaining contribution amounts based on payments made directly by the employee to the TPA.
709458,Medium,,Handle missed premiums by a one-time catch-up method.
709459,Medium,,View online year to date summary of reimbursement accounts with pending activity.
709460,Medium,,"Notify employees on or returning from leave of absence concerning benefit restrictions or limitations, and re-enrollment."
709461,Medium,,Track demographic and enrollment data for analysis of specific plans.
709462,Medium,,Change groups of employees from one program to another.
709463,Medium,,Terminate groups of employees and maintain history.
709464,Medium,,Allow for employees to self enroll and update status in seminars and special events for wellness and employee assistance  programs.
709465,Medium,,Add and accurately process premiums for short term enrollments. (COBRA enrollment for one or two month period).
709466,Medium,,Identify and report all employees that were previously associated with a particular agency.
709467,Medium,,Allow for option to elect or not elect pre-tax medical insurance premium deductions.
709468,Medium,,Automatically notify employees of: program eligibility.
709469,Medium,,Automatically notify employees of: program terminations or changes.
709470,Medium,,Automatically notify employees of: dependents ineligibility.
709471,Medium,,Automatically notify employees of: COBRA eligible for policy holder or dependent.
709472,Medium,,Enter all elected benefits at one time or separate time if within the enrollment time frame.
709473,Medium,,Ability to enter effective dates of enrollment across plan years or premium years.
709474,Medium,,"Add, change, or terminate coverage with a future effective date."
,,,"Section:HRP-Benefits Administration, Plan Administration (61 Reqs)"
709475,Medium,,Coordinate transfer of individuals between agencies with a future effective date.
709476,Medium,,"Add COBRA dental coverage and automatically calculate the correct begin date, end date, and amount due, for a  terminating/retiring individual."
709477,Medium,,Maintain all notifications for a period as determined by the Benefits Administrator.
709478,Medium,,Provides for
Sectio,n 125 be,,nefit plans and the specification of whether a particular benefit type is part of a
Sectio,n 125 pl,,an.
,,,"Section:HRP-Benefits Administration, Plan Eligibility (114 Reqs)"
709479,Medium,,Create ACH files in PPD consumer format.
709480,Medium,,Maintain multiple eligibility dates for different benefit plans based on different rules for the plan and the employee.
709481,Medium,,"Determine employee's eligibility/ineligibility, enrollment effective/end dates as well as premium amounts due from employee  and/or employer."
709482,Medium,,Maintain eligibility rules by benefit plan with variables that include: plan type.
709483,Medium,,Maintain eligibility rules by benefit plan with variables that include: group.
709484,Medium,,Maintain eligibility rules by benefit plan with variables that include: required employee's status for coverage (permanent or  temporary).
709485,Medium,,Maintain eligibility rules by benefit plan with variables that include: required participant status for coverage.
709486,Medium,,Maintain eligibility rules by benefit plan with variables that include: geographic coverage.
709487,Medium,,Maintain eligibility rules by benefit plan with variables that include: waiting period.
709488,Medium,,Maintain eligibility rules by benefit plan with variables that include: minimum hours worked.
709489,Medium,,Maintain eligibility rules by benefit plan with variables that include: dependent coverage.
709490,Medium,,Maintain eligibility rules by benefit plan with variables that include: which dependents are eligible.
709491,Medium,,Maintain eligibility rules by benefit plan with variables that include: split coverage (multiple participants per family).
709492,Medium,,Maintain eligibility rules by benefit plan with variables that include: Medicare eligibility.
709493,Medium,,Maintain eligibility rules by benefit plan with variables that include: COBRA requirements.
709494,Medium,,Maintain eligibility rules by benefit plan with variables that include: HIPAA requirements.
709495,Medium,,"Maintain eligibility rules by benefit plan with variables that include: ability to enroll during annual enrollment (yes, no, only if in  another plan)."
709496,Medium,,Maintain eligibility rules by benefit plan with variables that include: prior plan requirement (which plans qualify).
709497,Medium,,Maintain eligibility rules by benefit plan with variables that include: may continue on leave without pay (FMLA).
709498,Medium,,Maintain eligibility rules by benefit plan with variables that include: how long eligible after leave begins.
,,,"Section:HRP-Benefits Administration, Plan Eligibility (114 Reqs)"
709499,Medium,,"Maintain eligibility rules by benefit plan with variables that include: type of leave (military, workers compensation, etc.)."
709500,Medium,,Maintain eligibility rules by benefit plan with variables that include: may continue if disabled.
709501,Medium,,Maintain eligibility rules by benefit plan with variables that include: dependents eligible after employee's death.
709502,Medium,,Maintain eligibility rules by benefit plan with variables that include: how long eligible after employee's death.
709503,Medium,,Maintain eligibility rules by benefit plan with variables that include: re-enrollment after return from leave without pay.
709504,Medium,,Maintain eligibility rules by benefit plan with variables that include: re-enrollment period.
709505,Medium,,Maintain eligibility rules by benefit plan with variables that include: re-enrollment rules after return from military leave.
709506,Medium,,Maintain eligibility rules by benefit plan with variables that include: reinstatable after return from leave without pay.
709507,Medium,,Maintain eligibility rules by benefit plan with variables that include: reinstatement period.
709508,Medium,,Maintain eligibility rules by benefit plan with variables that include: reinstatement rules after return from military leave.
709509,Medium,,Maintain eligibility rules by benefit plan with variables that include: continue after retirement.
709510,Medium,,Maintain eligibility rules by benefit plan with variables that include: job classification code/title.
709511,Medium,,Maintain eligibility rules by benefit plan with variables that include: effective date.
709512,Medium,,Maintain eligibility rules by benefit plan with variables that include: hire date.
709513,Medium,,Maintain eligibility rules by benefit plan with variables that include: age of employee.
709514,Medium,,Maintain eligibility rules by benefit plan with variables that include: age of dependents.
709515,Medium,,Maintain eligibility rules by benefit plan with variables that include: hours worked by period.
709516,Medium,,Maintain eligibility rules by benefit plan with variables that include: yearly health screening.
709517,Medium,,Maintain eligibility rules by benefit plan with variables that include: living will.
709518,Medium,,"Maintain eligibility rules by benefit plan with variables that include: tobacco usage (policy holder, dependents)."
709519,Medium,,"Maintain eligibility rules by benefit plan with variables that include: required documentation (birth certificates, marriage license,  etc.)."
709520,Medium,,Maintain eligibility rules by benefit plan with variables that include: wage base.
709521,Medium,,Maintain eligibility rules by benefit plan with variables that include: track leave without pay for limitations.
709522,Medium,,Maintain eligibility rules by benefit plan with variables that include: over-ride of eligibility with proper security.
709523,Medium,,Maintain eligibility rules by benefit plan with variables that include: flexible spending account eligibility as defined in Internal  Revenue Code
Sectio,n 125 an,,d
Sectio,n 129.,,
709524,Medium,,Maintain eligibility rules by benefit plan with variables that include: monitor and prevent overages from employee contribution on  deferred compensation based on federal guideline.
709525,Medium,,Maintain eligibility rules by benefit plan with variables that include: adjusted continuous service date.
,,,"Section:HRP-Benefits Administration, Plan Eligibility (114 Reqs)"
709526,Medium,,"Maintain eligibility rules by benefit plan with variables that include: meet all other state and federal laws, policies and guidelines  pertaining to flexible spending accounts and deferred compensation."
709527,Medium,,Maintain eligibility rules by benefit plan with variables that include: base salary.
709528,Medium,,Maintain eligibility rules by benefit plan with variables that include: annual earnings.
709529,Medium,,Maintain eligibility rules by benefit plan with variables that include: coverage date.
709530,Medium,,Maintain eligibility rules by benefit plan with variables that include: qualifying events.
709531,Medium,,Maintain eligibility rules by benefit plan with variables that include: other user defined criteria.
709532,Medium,,Provide for various types of enrollment consistent with eligibility rules to include: enrollment of new hires and rehires within a user  defined period of hire date.
709533,Medium,,Provide for various types of enrollment consistent with eligibility rules to include: annual open enrollment period.
709534,Medium,,Provide for various types of enrollment consistent with eligibility rules to include: enrollment of employee for qualifying event.
709535,Medium,,Provide for various types of enrollment consistent with eligibility rules to include: late enrollment due to qualifying event.
709536,Medium,,Provide for various types of enrollment consistent with eligibility rules to include: late enrollment with medical underwriting.
709537,Medium,,Provide for various types of enrollment consistent with eligibility rules to include: special enrollment due to HIPAA qualifying  event.
709538,Medium,,"Provide the ability to apply statuses to insurance programs: ""open"" - in this case, employees may be enrolled in this program as  of the effective date of the program. All normal processing may be done against open programs including retroactive transactions."
709539,Medium,,"Provide the ability to apply statuses to insurance programs: ""closed but active"" - in this status, employees cannot be newly  enrolled in the program after the close effective date, however all normal processing, including retroactive transactions may be  carried out against the program. Interfaces for a user specified period after the program becomes inactive."
709540,Medium,,"Provide the ability to apply statuses to insurance programs: ""pended"" - open but all information is not complete."
709541,Medium,,"Provide the ability to apply statuses to insurance programs: ""inactive"" - inactive programs may not have any processing done  against them."
709542,Medium,,Provide detailed notifications to employees of benefit eligibility when eligibility begins or changes and as part of the annual  enrollment /transfer process (email and letter).
709543,Medium,,Provide notification (email or letter) to benefits administration that employee's eligibility is beginning or changing.
709544,Medium,,"Ability to process ""cross-reference"" eligibility (both spouses work for the State) for certain types of benefits based on user defined  options."
709545,Medium,,"Ability to process ""cross-reference"" eligibility for policy holder and dependents (State and non State participating entities) for  certain types of benefits based on user defined options."
709546,Medium,,"Process split eligibility (both spouses both work for the State, one spouse works for state and other works for participating entity,  one spouse works for state and one is retired state) for certain types of benefits based on user defined options, to include:  notification to the 2nd party spouse and their agency designated benefits assistant of changes including but not limited to the  cancellation of the 1st party spouse's enrollment so appropriate changes can be completed."
